                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8268,                 2.3324,                 1.6644,                0.60579,                0.45392,                0.47117,                0.19107,                 1.9291,                 2.5411,                 1.7598,             0.00066445,             0.00066445,             0.00066445
                      2,                 1.8653,                 1.8167,                 1.6909,                0.59957,                0.52941,                0.57474,                0.25764,                 1.9091,                 1.7916,                 1.7563,              0.0013179,              0.0013179,              0.0013179
                      3,                 1.8527,                 1.6408,                 1.6774,                0.70113,                0.59118,                 0.6581,                0.29862,                 1.8734,                 1.5695,                 1.6868,              0.0019582,              0.0019582,              0.0019582
                      4,                 1.8194,                 1.5855,                 1.6577,                 0.6847,                0.63725,                0.69165,                0.33234,                 1.7403,                 1.4274,                  1.629,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7911,                 1.5038,                 1.6253,                0.73685,                0.56765,                0.65072,                0.34203,                 1.7629,                 1.4632,                 1.6254,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.7406,                 1.4001,                 1.5842,                 0.7339,                0.67353,                 0.7504,                 0.3814,                 1.7191,                 1.2373,                 1.5686,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.7052,                  1.351,                 1.5555,                0.77764,                0.65588,                0.75688,                0.36172,                 1.7843,                 1.2126,                 1.5923,               0.001901,               0.001901,               0.001901
                      8,                 1.6877,                 1.3206,                 1.5423,                0.74031,                0.69033,                0.78498,                0.41222,                 1.6376,                 1.1757,                 1.4997,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.6838,                  1.296,                  1.534,                0.84497,                0.70686,                0.81268,                0.43412,                 1.6177,                 1.0601,                 1.5091,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.6614,                 1.2523,                 1.5216,                0.78045,                0.72549,                0.80481,                0.41837,                  1.639,                 1.0953,                 1.5122,              0.0018416,              0.0018416,              0.0018416
                     11,                  1.628,                 1.2166,                 1.4948,                0.82247,                0.71308,                0.82413,                0.43225,                 1.5807,                 1.0819,                 1.4754,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.6055,                 1.1906,                  1.488,                0.85245,                0.73725,                0.84255,                0.44527,                 1.5939,                0.98684,                 1.4655,               0.001802,               0.001802,               0.001802
                     13,                 1.5879,                 1.1631,                 1.4699,                 0.8329,                0.76667,                0.84036,                  0.458,                 1.5358,                0.96965,                 1.4306,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.5841,                 1.1423,                 1.4554,                0.84157,                0.73922,                  0.839,                0.46483,                 1.5415,                0.95863,                 1.4256,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.5719,                 1.1349,                  1.448,                0.85881,                0.73948,                0.83149,                0.44933,                 1.5696,                0.97457,                 1.4467,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.5664,                  1.126,                 1.4546,                0.83747,                0.79216,                0.85557,                0.48736,                 1.4974,                0.96515,                   1.39,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.5376,                 1.0923,                 1.4343,                0.81344,                0.80882,                0.86946,                0.47994,                 1.5003,                0.90791,                 1.4147,               0.001703,               0.001703,               0.001703
                     18,                 1.5372,                 1.0892,                 1.4355,                0.82031,                 0.7698,                0.85552,                 0.4824,                 1.4815,                0.92343,                 1.3898,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.5069,                  1.053,                 1.4161,                0.83198,                0.77941,                0.85437,                0.48172,                 1.4778,                0.91575,                 1.3931,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.5148,                 1.0657,                 1.4203,                0.82195,                0.75882,                0.84186,                0.45338,                 1.6095,                0.96577,                 1.4635,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.5044,                 1.0512,                   1.41,                0.85977,                0.75882,                0.85972,                0.48003,                 1.4985,                0.88421,                 1.4057,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.5055,                 1.0407,                 1.4129,                0.88024,                0.78039,                0.87522,                0.51857,                 1.4386,                0.84753,                 1.3473,               0.001604,               0.001604,               0.001604
                     23,                 1.4686,                 1.0018,                 1.3862,                0.87913,                0.75686,                0.87233,                0.49212,                 1.4899,                0.86688,                 1.3792,              0.0015842,              0.0015842,              0.0015842
                     24,                  1.478,                 1.0089,                 1.3868,                0.85617,                0.77617,                 0.8735,                0.49543,                 1.4871,                0.87405,                 1.3823,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.4665,                 1.0013,                 1.3863,                0.84155,                0.80392,                0.87636,                0.49947,                 1.4276,                0.84302,                 1.3557,              0.0015446,              0.0015446,              0.0015446
